ID;NAME;EVA_ID
SBE;Beckingen(Saar);8000840
KBE;Bedburg(Erft);8000030
KBH;Bedburg-Hau;8000842
EBEE;Beelen;8000846
BBZS;Beelitz Stadt;8013468
BBEL;Beelitz-Heilstätten;8013467
FHZ;Beerfelden Hetzbach;8002815
BBES;Beeskow;8010029
WBES;Beetz-Sommerfeld;8011125
NBEH;Behringersdorf;8000850
FBEI;Beienheim;8000851
LBEI;Beilrode;8011131
TBS;Beimerstetten;8000858
ABE;Beldorf;8000860
LBGH;Belgershain;8011132
LBLL;Belleben;8011133
MBNB;Bellenberg;8000862
RBLN;Bellheim Am Mühlbuckel;8000861
RBLH;Bellheim Bf;8000863
TBEM;Bempflingen;8000865
MBEN;Benediktbeuern;8000869
SBG;Bengel;8000870
LBEK;Benneckenstein;8017002
HBML;Bennemühlen;8000871
LWZW;Bennewitz;8013362
HBEN;Bennigsen;8000872
TBEN;Benningen(Neckar);8000873
UBEN;Bennungen;8011138
UBH;Benshausen;8011139
FBH;Bensheim;8000031
FBAU;Bensheim-Auerbach;8000877
WBE;Bentwisch;8011140
NBE;Beratzhausen;8000882
DBER;Berbisdorf;8011142
DBEA;Berbisdorf Anbau;8011143
MBG;Berchtesgaden Hbf;8000885
RBRG;Berg(Pfalz);8000890
UBGE;Berga(Elster);8011144
UBK;Berga-Kelbra;8010032
WBG;Bergen auf Rügen;8010033
MBE;Bergen(Oberbay);8000888
TBER;Bergenweiler;8000889
BBFE;Bergfelde(b Berlin);8080100
RBGBS;Berghausen Am Stadion;8007864
RBGBP;Berghausen Pfinzbrücke;8007863
EBGA;Berghausen(b Wittgenstein);8000892
RBGB;Berghausen(Baden);8000893
RBGP;Berghausen(Pfalz);8000894
KBEE;Bergheim(Erft);8000355
KBGG;Bergisch Gladbach;8000899
WBER;Bergsdorf;8011149
NBHM;Bergtheim;8000902
LBWZ;Bergwitz;8011150
RBE;Beringen Bad Bf;8000903
RBEF;Beringerfeld;8000901
EBRH;Beringhausen;8000904
ABGS;Beringstedt;8000905
BBKR;Berkenbrück;8011154
BALE;Berlin Alexanderplatz;8011155
BALX;Berlin Alexanderplatz (S);8089001
BARF;Berlin Alt-Reinickendorf;8089103
BAHU;Berlin Anhalter Bf;8089002
BATS;Berlin Attilastr.;8089003
BBW;Berlin Baumschulenweg;8089004
BBEV;Berlin Bellevue;8089005
BRB;Berlin Betriebsbf Rummelsburg;8089006
BSCF;Berlin Betriebsbf Schöneweide;8089007
BBEU;Berlin Beusselstraße;8089118
BBOS;Berlin Bornholmer Str.;8089008
BBGT;Berlin Botanischer Garten;8089009
BTOR;Berlin Brandenburger Tor;8089044
BBCH;Berlin Buckower Chaussee;8089010
BBUP;Berlin Bundesplatz;8089107
BEBD;Berlin Eichborndamm;8089101
BFB;Berlin Feuerbachstr.;8089012
BFAL;Berlin Frankfurter Allee;8089013
BFRI;Berlin Friedrichstraße;8011306
BGSE;Berlin Gehrenseestr.;8089014
BGS;Berlin Gesundbrunnen;8011102
BGB;Berlin Gesundbrunnen(S);8089015
BGFB;Berlin Greifswalder Str;8089011
BGBA;Berlin Grünbergallee;8089016
BHKM;Berlin Hackescher Markt;8089017
BLS;Berlin Hbf;8011160
BHBF;Berlin Hbf (S-Bahn);8089021
BL;Berlin Hbf (tief);8098160
BHST;Berlin Heerstraße;8089329
BHEI;Berlin Heidelberger Platz;8089112
BHER;Berlin Hermannstraße;8089105
BHO;Berlin Hohenzollerndamm;8089108
BHUM;Berlin Humboldthain;8089018
BIP;Berlin Innsbrucker Platz;8089106
BJB;Berlin Jannowitzbrücke;8089019
BJLB;Berlin Julius-Leber-Brücke;8089537
BJUF;Berlin Jungfernheide;8011167
BJUN;Berlin Jungfernheide (S);8089100
BKBO;Berlin Karl-Bonhoeffer-Nervenklinik;8089102
BKHD;Berlin Köllnische Heide;8089104
BLST;Berlin Landsberger Allee;8089020
BMEA;Berlin Mehrower Allee;8089022
BMN;Berlin Messe Nord/ICC (Witzleben);8089110
BMS;Berlin Messe Süd (Eichkamp);8089328
BMEX;Berlin Mexikoplatz;8089023
BNPL;Berlin Nöldnerplatz;8089026
BNB;Berlin Nordbahnhof;8089024
BOLS;Berlin Olympiastadion;8089330
BORS;Berlin Oranienburger Straße;8089027
BOSS;Berlin Osdorfer Straße;8089473
